Title,Date,Source Type,Publication Title
"Exxon, Shell Post Sharp Gains in 4th-Period Net",1/22/1997,Historical Newspapers,Wall Street Journal
Higher Crude Oil and Gas Prices Buoy Exxon and Shell Earnings,1/22/1997,Historical Newspapers,New York Times
Warming Is Seen in Northeast And Heating Oil Price Falls,1/22/1997,Historical Newspapers,New York Times
Dow Down 34 on Disappointment Over IBM Results,1/23/1997,Historical Newspapers,The Washington Post
"Amoco Says Results Rose to Record Highs For 4th Quarter, Year",1/23/1997,Historical Newspapers,Wall Street Journal
U.S. Is Expected To Change Rules On Oil Royalties,1/23/1997,Historical Newspapers,Wall Street Journal
Jump in Interest Rates Sparks Sell-Off in Stocks,1/24/1997,Historical Newspapers,The Washington Post
Oil Earnings Are Better Than Expected,1/24/1997,Historical Newspapers,Wall Street Journal
Administration Wants to Raise Royalties That Oil Firms Pay for Federal Crude,1/25/1997,Historical Newspapers,The Washington Post
"Dow Continues to Pull Back, Loses 59",1/25/1997,Historical Newspapers,The Washington Post
. ..As Mutual Fund Aims to Ride on Commodities,1/27/1997,Historical Newspapers,Wall Street Journal
Rising Bond Yields Push Dow Down 36,1/28/1997,Historical Newspapers,The Washington Post
Mobil Profit Fell 13% in 4th Quarter,1/28/1997,Historical Newspapers,The Washington Post
"Mobil Net Drops 13%, Reflecting Charges And Slower Segments",1/28/1997,Historical Newspapers,Wall Street Journal
BUSINESS BRIEFS,1/28/1997,Historical Newspapers,Wall Street Journal
Inflation News Gives Dow Only a Temporary Boost,1/29/1997,Historical Newspapers,The Washington Post
"Dow Breaks Losing Streak, Adds 85",1/30/1997,Historical Newspapers,The Washington Post
DuPont Net Rises 37% As Its Conoco Unit Posts Strong Growth,1/30/1997,Historical Newspapers,Wall Street Journal
WORLD WIRE,1/30/1997,Historical Newspapers,Wall Street Journal
"E.I. DU PONT DE NEMOURS & CO. (DD,N)",1/30/1997,Historical Newspapers,New York Times
Heavy Rains in South America Touch Off Coffee Price Surge,1/30/1997,Historical Newspapers,New York Times
Quarterly Net Gained 55% On Higher Crude Prices,1/31/1997,Historical Newspapers,Wall Street Journal
Price of Heating Oil Jumps; Soybeans and Coffee Are Off,1/31/1997,Historical Newspapers,New York Times
Wheat Hits a 21-Month Low; Soybeans Also Fall Sharply,2/1/1997,Historical Newspapers,New York Times
Collecting for Crude,2/3/1997,Historical Newspapers,The Washington Post
Dow Drops 7 Points Despite Bond Strength,2/4/1997,Historical Newspapers,The Washington Post
Dow Overcomes Afternoon Decline to Close Up 27,2/5/1997,Historical Newspapers,The Washington Post
Dow Tumbles 87 on Technology Outlook,2/6/1997,Historical Newspapers,The Washington Post
Copper Prices Jump as Stockpile Rise Is Slight,2/6/1997,Historical Newspapers,Wall Street Journal
Intel Slashes Prices On High-Speed Cards Linking PC Networks,2/6/1997,Historical Newspapers,Wall Street Journal
Copper Prices Rise on Reports Of Strong Demand for Housing,2/6/1997,Historical Newspapers,New York Times
Dow Climbs 26 in Qiutious Trading,2/7/1997,Historical Newspapers,The Washington Post
Prices for March Crude and Heating Oil Decline,2/7/1997,Historical Newspapers,Wall Street Journal
Oil and Other Fuels Plunge; More Warm Weather Is Seen,2/8/1997,Historical Newspapers,New York Times
Tech Sell-Off Pulls Stocks Down,2/11/1997,Historical Newspapers,The Washington Post
Tech Issues Lead Market In Sell-Off,2/11/1997,Historical Newspapers,Wall Street Journal
Dow Up 52 In Flurry of Late Trading,2/12/1997,Historical Newspapers,The Washington Post
London Shares Slip Amid Anxiety About Profits; Frankfurt Stocks Rise to Seventh Record in a Row,2/12/1997,Historical Newspapers,Wall Street Journal
"Pemex's Sales, Operating Profit, Production Increased Last Year",2/12/1997,Historical Newspapers,Wall Street Journal
BP's Net Rose 30% Last Year on Gains In Productivity,2/12/1997,Historical Newspapers,Wall Street Journal
"Chevron's Bet On Kazak Oil, A Long Shot, Is Paying Off",2/12/1997,Historical Newspapers,New York Times
Tech Rally Pushes Dow Over 6900 for 1st Time,2/13/1997,Historical Newspapers,The Washington Post
"Silver, Platinum and Gold Futures Stage a Rally",2/13/1997,Historical Newspapers,Wall Street Journal
Orange Juice Hits 4-Year Low; Crude Oil Slips as Stocks Rise,2/13/1997,Historical Newspapers,New York Times
"CBOT, Chicago Merc to Merge Clearing Systems",2/14/1997,Historical Newspapers,Wall Street Journal
COMPANY NEWS,2/14/1997,Historical Newspapers,New York Times
Producer Prices Drop for First Time in 2 Years,2/15/1997,Historical Newspapers,The Washington Post
Dow Dips Below 7000,2/15/1997,Historical Newspapers,The Washington Post
GREENWICH AIR TO ACQUIRE UNC FOR $320 MILLION,2/15/1997,Historical Newspapers,New York Times
Wall Street Is Looking More Like Tokyo,2/16/1997,Historical Newspapers,New York Times
"Companies' Earnings Rocket 61%, Capping Five-Year Winning Streak",2/18/1997,Historical Newspapers,Wall Street Journal
Late Surge Pushes Dow Average to a New Record,2/19/1997,Historical Newspapers,The Washington Post
Consumer Prices Rose Only Slightly in January,2/20/1997,Historical Newspapers,The Washington Post
Trade Deficit Grew Sharply Last Year,2/20/1997,Historical Newspapers,New York Times
Two Reports Show Inflation Is in Check,2/20/1997,Historical Newspapers,New York Times
Dow Falls 93; Some Analysts Expect More Declines,2/21/1997,Historical Newspapers,The Washington Post
Fears of Dwindling Reserves Send Soybean Prices Higher,2/21/1997,Historical Newspapers,New York Times
Wheat Prices Soar on Outlook For Smaller Spring Plantings,2/22/1997,Historical Newspapers,New York Times
Global Crude Steel Production Rose 3.7% In January From 1996,2/24/1997,Historical Newspapers,Wall Street Journal
Dow Gains 77 Points To Top 7000 Again,2/25/1997,Historical Newspapers,The Washington Post
"Petroleum, Natural Gas Fall Further As Warmer Weather Takes Heavy Toll",2/25/1997,Historical Newspapers,Wall Street Journal
Sales Rose 30% Last Year; Hydrocarbon Output Cited,2/25/1997,Historical Newspapers,Wall Street Journal
Gasoline Prices Fall,2/25/1997,Historical Newspapers,New York Times
Natural Gas and Heating Oil Fall on Mild Weather Outlook,2/25/1997,Historical Newspapers,New York Times
Soybeans Hit 5-Month High As Global Demand Is Strong,2/26/1997,Historical Newspapers,New York Times
Comments Send Dow Down 55,2/27/1997,Historical Newspapers,The Washington Post
Stocks Decline but Recoup a Bit; McDonald's Drops Over Price Cuts,2/27/1997,Historical Newspapers,Wall Street Journal
Stocks Again Fall on Profit-Taking,2/28/1997,Historical Newspapers,The Washington Post
Coffee Surges Despite Report Raising Brazil Crop Estimate,3/1/1997,Historical Newspapers,New York Times
U.S. Economic Offensive Against Iran's Energy Industry Is Bearing Fruit,3/3/1997,Historical Newspapers,The Washington Post
"Dow Up 41, Ending Recent Slide",3/4/1997,Historical Newspapers,The Washington Post
Drop in Oil Prices May Be Nearing End,3/4/1997,Historical Newspapers,Wall Street Journal
Dow Drops 66 as Economic Reports Spur Inflation Concerns,3/5/1997,Historical Newspapers,The Washington Post
Fed Chiefs Consoling Tone Sends Dow Average Up 93,3/6/1997,Historical Newspapers,The Washington Post
"Stocks Turn Downward, Bond Interest Rates Rise",3/7/1997,Historical Newspapers,The Washington Post
By Crude Calculations Little Drop in Gas Prices,3/8/1997,Historical Newspapers,The Washington Post
Dow Up 56 Points To Top 7000 Again,3/8/1997,Historical Newspapers,The Washington Post
Sobering News for Bacchus,3/8/1997,Historical Newspapers,New York Times
Low Inventories Aggravate Price Spikes,3/10/1997,Historical Newspapers,Wall Street Journal
Dow Advances 79 Points to Record High,3/11/1997,Historical Newspapers,The Washington Post
Tosco Thrives Thanks to O'Malley's Trader Mentality,3/11/1997,Historical Newspapers,Wall Street Journal
Soybean Prices Are Highest Since 1988 on Supply Worries,3/11/1997,Historical Newspapers,New York Times
Gas Prices Decline a Cent,3/11/1997,Historical Newspapers,New York Times
LIFETIME HOAN CORP.,3/13/1997,Historical Newspapers,Wall Street Journal
Crude-Oil Futures Slip but Recover to End Higher,3/13/1997,Historical Newspapers,Wall Street Journal
Prices for Crude Oil Increase; Soybeans Fall for Second Day,3/13/1997,Historical Newspapers,New York Times
Dow Drops 160.48 On Rate Worries,3/14/1997,Historical Newspapers,The Washington Post
"Dow Rebounds From Slide, but Bond Gains Hurt Small Stocks",3/18/1997,Historical Newspapers,The Washington Post
Gulf of Mexico Dispute Stymies Drilling,3/18/1997,Historical Newspapers,Wall Street Journal
Mexican Data Suggest 30% Overstatement of Oil Reserves,3/18/1997,Historical Newspapers,New York Times
"Shell, Texaco Agree To Partial Merger",3/19/1997,Historical Newspapers,The Washington Post
Worry Over a Squeeze in Grain Supplies Subsides,3/19/1997,Historical Newspapers,Wall Street Journal
"Shell, Texaco to Merge Some U.S. Refining",3/19/1997,Historical Newspapers,New York Times
Crude Oil Prices Up Sharply; Most Precious Metals Lower,3/19/1997,Historical Newspapers,New York Times
Inflation Picked Up Slightly in February,3/20/1997,Historical Newspapers,The Washington Post
"Stocks Retreat Broadly on Inflation, Interest Rate Concerns",3/20/1997,Historical Newspapers,The Washington Post
"Nasdaq Bounces Back; Dow, Other Indexes Fall",3/21/1997,Historical Newspapers,The Washington Post
Jim Hoagland,3/23/1997,Historical Newspapers,The Washington Post
Bond Rally Helps Dow to 100-Point Gain; Tech Stocks Fall,3/25/1997,Historical Newspapers,The Washington Post
EXXON CORP.,3/25/1997,Historical Newspapers,Wall Street Journal
Rounding A Corner On Wall St.?,3/26/1997,Historical Newspapers,The Washington Post
Surge in Technology Stocks Gives Nasdaq a Big Boost; Dow Gains 5,3/27/1997,Historical Newspapers,The Washington Post
Article 1 -- No Title,3/27/1997,Historical Newspapers,Wall Street Journal
Oil Workers Released In Nigeria,3/28/1997,Historical Newspapers,The Washington Post
Rising Interest Rates Send Stocks Plummeting,3/28/1997,Historical Newspapers,The Washington Post
WORLD WIRE,3/28/1997,Historical Newspapers,Wall Street Journal
Oil Demand Is Set to Rev Up by Summer As Americans Prepare to Hit the Road,3/31/1997,Historical Newspapers,Wall Street Journal
India's Reliance Tries on a New Image,4/1/1997,Historical Newspapers,Wall Street Journal
Ashland-Marathon Deal Is Said to Be Near,4/1/1997,Historical Newspapers,New York Times
Stocks Find a Bit of Stability; Worries Remain,4/2/1997,Historical Newspapers,The Washington Post
Insiders at Oil Producers Bought Stock As Prices Dropped Earlier This Year,4/2/1997,Historical Newspapers,Wall Street Journal
Apache Contract in Cote d'Ivoire,4/2/1997,Historical Newspapers,Wall Street Journal
Stocks Resume Slide; Dow Drops 94 Points,4/3/1997,Historical Newspapers,The Washington Post
Stocks' Fall Resumes as Blue Chips Drop 94.04,4/3/1997,Historical Newspapers,Wall Street Journal
Crude-Oil Futures Plunge on Signs of Oversupply,4/3/1997,Historical Newspapers,Wall Street Journal
Oil in Ecuador: A Tale of Missed Opportunity,4/3/1997,Historical Newspapers,Wall Street Journal
A Surprise Climb in Inventories Pushes Crude Oil Prices Down,4/3/1997,Historical Newspapers,New York Times
Lower Gasoline Prices Likely This Summer,4/4/1997,Historical Newspapers,The Washington Post
Late Surge Holds Dow Loss to 39.66,4/4/1997,Historical Newspapers,The Washington Post
Some Managers Seek More Pain For Stock Prices,4/4/1997,Historical Newspapers,Wall Street Journal
"It Hurts, but Blue-Chip Drop Is Routine So Far",4/7/1997,Historical Newspapers,Wall Street Journal
"Oil Giants Provide Turbulence as Lower Prices For Crude, Merrill Lynch Warning Hurt Sector",4/7/1997,Historical Newspapers,Wall Street Journal
Bargain Hunters Lead Dow to Modest Gain,4/8/1997,Historical Newspapers,The Washington Post
AROUND THE WORLD,4/8/1997,Historical Newspapers,The Washington Post
Petroleum Prices Move Higher As Snows Shut Down Pipeline,4/8/1997,Historical Newspapers,New York Times
Stocks Continue Rebound; Dow Closes Up 53,4/9/1997,Historical Newspapers,The Washington Post
Dow Falls 24 Points on Quiet Day,4/11/1997,Historical Newspapers,The Washington Post
Dust-Up Between U.S. and Iraq Lifts Oil Futures,4/11/1997,Historical Newspapers,Wall Street Journal
Export Rise and Bad Weather Lift Corn and Soybean Prices,4/11/1997,Historical Newspapers,New York Times
Stocks Drop Sharply at Signs of Strength in Economy,4/12/1997,Historical Newspapers,The Washington Post
EU Unlikely to Impose Embargo on Iran,4/14/1997,Historical Newspapers,Wall Street Journal
Wintry Freeze Heats Up Wheat Futures Prices,4/15/1997,Historical Newspapers,Wall Street Journal
Wheat Prices Surge the Limit As Freeze Hits Sprouting Crop,4/15/1997,Historical Newspapers,New York Times
"Dow Leaps 135, Bond Prices Surge",4/16/1997,Historical Newspapers,The Washington Post
"Dow Revs Back Up, Gaining 93, But Tech Stocks Stay in Low Gear",4/17/1997,Historical Newspapers,The Washington Post
"Dow Falls 21, Ending Three-Day Rally",4/18/1997,Historical Newspapers,The Washington Post
American Trade Deficit Decreased 18% in February,4/18/1997,Historical Newspapers,New York Times
Fed Official's Comments Help Send Stock Prices Down Again,4/22/1997,Historical Newspapers,The Washington Post
Iraq Threatens to Defy 'No-Fly' Zone,4/22/1997,Historical Newspapers,The Washington Post
Supreme Court to Hear Age-Bias Case,4/22/1997,Historical Newspapers,Wall Street Journal
Crude Oil Settles at Highest Price This Month,4/22/1997,Historical Newspapers,Wall Street Journal
"Exxon and Amoco Report Strong Results For 1st Period, Topping Street Estimates",4/22/1997,Historical Newspapers,Wall Street Journal
Iraqi Plan to Defy Flight Ban Sends Crude Oil Prices Higher,4/22/1997,Historical Newspapers,New York Times
Market Place|,4/22/1997,Historical Newspapers,New York Times
Court Won't Reconsider Tax Ruling in Favor Of Texaco,4/22/1997,Historical Newspapers,New York Times
Blue-Chip Fever Sends Dow Up 173,4/23/1997,Historical Newspapers,The Washington Post
"Copper Rebounds Amid Solid Demand, Possible Labor Strife at Some Suppliers",4/23/1997,Historical Newspapers,Wall Street Journal
Oil Companies Continue to Post Strong Results,4/23/1997,Historical Newspapers,Wall Street Journal
Shell Oil Profits up 7% and Texaco's Soar,4/23/1997,Historical Newspapers,New York Times
Crude Oil Prices Move Lower As Worries on Iraq Diminish,4/23/1997,Historical Newspapers,New York Times
Mobil Corp. Earnings Rose 12% in 1st Quarter,4/24/1997,Historical Newspapers,The Washington Post
"Du Pont Net Rises By 16%, Boosted By Conoco Gains",4/24/1997,Historical Newspapers,Wall Street Journal
"Chevron, Mobil and Phillips Post Strong Earnings for First Quarter",4/24/1997,Historical Newspapers,Wall Street Journal
Chevron and Mobil Earnings Exceed Experts' Predictions,4/24/1997,Historical Newspapers,New York Times
"DU PONT (DD, N)",4/24/1997,Historical Newspapers,New York Times
"Coffee Prices Gain Amid Strike, Supply Shortage",4/25/1997,Historical Newspapers,Wall Street Journal
High Tech Takes Washington,4/28/1997,Historical Newspapers,The Washington Post
BRE-X MINERALS LTD,4/28/1997,Historical Newspapers,Wall Street Journal
The Puzzle of the US. Dollar,4/29/1997,Historical Newspapers,The Washington Post
"Arco's Net Rose 31% In the First Quarter, Buoyed by Refining",4/29/1997,Historical Newspapers,Wall Street Journal
Gasoline Prices Decline,4/29/1997,Historical Newspapers,New York Times
Smaller Stocks Join Blue Chips in Broad-Based Rally,4/30/1997,Historical Newspapers,The Washington Post
Occidental Petroleum Breaks Out Extent Of Crude-Oil Trading in Recent Years,4/30/1997,Historical Newspapers,Wall Street Journal
Coffee Prices Are Up Sharply After an Increase by Folgers,4/30/1997,Historical Newspapers,New York Times
"Dow Rises 47, Closing Above 7000 Again",5/1/1997,Historical Newspapers,The Washington Post
Soybeans Reach 9-Year Peak; Oil Prices Fall as Supplies Rise,5/1/1997,Historical Newspapers,New York Times
Royal Dutch/Shell Reports Flat Earnings,5/2/1997,Historical Newspapers,New York Times
Gasoline Is Sharply Lower On Signs of Adequate Supply,5/3/1997,Historical Newspapers,New York Times
"Fluor, After Touting Big Expansion, Tightens Its Belt",5/5/1997,Historical Newspapers,Wall Street Journal
"Corporate Profits Leap Unexpected 18%, Helped by Strong Economy",5/5/1997,Historical Newspapers,Wall Street Journal
"'Panic Melt-Up' Cited as Markets Erase Losses, Reach New Highs",5/6/1997,Historical Newspapers,The Washington Post
WORLD WIRE,5/7/1997,Historical Newspapers,Wall Street Journal
"Worries Push Crude Oil, Gasoline Futures Higher",5/9/1997,Historical Newspapers,Wall Street Journal
Oil and Gasoline Prices Surge On Concern About Refineries,5/9/1997,Historical Newspapers,New York Times
Russian Delays Boost Platinum And Palladium,5/13/1997,Historical Newspapers,Wall Street Journal
Dow Surges 123 to Record as Investors Stay Hopeful,5/13/1997,Historical Newspapers,The Washington Post
"Blue Chips Hit Another Record, Boosted by Hewlett-Packard, IBM",5/13/1997,Historical Newspapers,Wall Street Journal
Wheat and Soybeans Decline As Prices for Crude Oil Jump,5/13/1997,Historical Newspapers,New York Times
Dow Flirts With 7300 But Closes Down 19,5/14/1997,Historical Newspapers,The Washington Post
Producer Prices Fall Once Again,5/15/1997,Historical Newspapers,The Washington Post
Dow Adds 12 as Early Rally Fades,5/15/1997,Historical Newspapers,The Washington Post
Late-Day Surge Takes Stocks to New Records,5/16/1997,Historical Newspapers,The Washington Post
DOW TO BUY ELI LILLY'S STAKE IN CHEMICAL VENTURE,5/16/1997,Historical Newspapers,New York Times
Dow Up 34; Trading Light Ahead of Fed Talks,5/20/1997,Historical Newspapers,The Washington Post
"Coffee Prices Do an About-Face, Falling Sharply",5/20/1997,Historical Newspapers,Wall Street Journal
Prices for Palladium Surge Amid Problems on Supplies,5/20/1997,Historical Newspapers,New York Times
Stocks Rise On Feds Inaction,5/21/1997,Historical Newspapers,The Washington Post
"Blue Chips Post Losses, But Tech Shares Advance",5/22/1997,Historical Newspapers,The Washington Post
Federal Oil Reserve In Calif. Up for Auction,5/22/1997,Historical Newspapers,The Washington Post
U.S. Sees Sale of Elk Hills Beating $1.6 Billion Record,5/22/1997,Historical Newspapers,Wall Street Journal
Lingering Worries Over Inflation Send Dow Down 33 Points,5/23/1997,Historical Newspapers,The Washington Post
MITSUBISHI OIL CO,5/23/1997,Historical Newspapers,Wall Street Journal
Unseasonal Treat: Gasoline Prices Stay Low,5/25/1997,Historical Newspapers,New York Times
Leading Stock Indexes Again Hit New Highs,5/28/1997,Historical Newspapers,The Washington Post
Intel Stock Drops After Chip Report,5/31/1997,Historical Newspapers,The Washington Post
WORLD WIRE,6/4/1997,Historical Newspapers,Wall Street Journal
"Palladium, Platinum Rally on Tight Supplies",6/4/1997,Historical Newspapers,Wall Street Journal
Petroleum Is Lower As U.S. Backs Extension of Iraqi Deal,6/4/1997,Historical Newspapers,New York Times
Saigon Goes to the Superbowl,6/6/1997,Historical Newspapers,The Washington Post
Optimism Pushes Dow Past 7400 Mark,6/7/1997,Historical Newspapers,The Washington Post
CBOT Fears Lifting of Off-Exchange Ban,6/9/1997,Historical Newspapers,Wall Street Journal
Oil Slump Is Obstacle For Hedgers,6/11/1997,Historical Newspapers,Wall Street Journal
Prices for Crude Oil Tumble On Report of Rise in Inventory,6/12/1997,Historical Newspapers,New York Times
Stocks Hit Record Highs. For Fifth Day in a Row,6/13/1997,Historical Newspapers,The Washington Post
Dow Ends Week On Another High,6/14/1997,Historical Newspapers,The Washington Post
Producer Prices Fell Again in May,6/14/1997,Historical Newspapers,New York Times
Article 8 -- No Title,6/15/1997,Historical Newspapers,New York Times
Dow's Upward Streak Ends; Average Loses 10,6/17/1997,Historical Newspapers,The Washington Post
Investors in USA A 'Disaster Bonds' Could Get The Wind Knocked Out of Them if Storms Strike,6/18/1997,Historical Newspapers,Wall Street Journal
Middle East Worries Send Energy Prices Higher,6/18/1997,Historical Newspapers,Wall Street Journal
"Dow Tops 7800, Then Retreats, Closing Off 11",6/18/1997,Historical Newspapers,The Washington Post
"Dow Declines Again, But Stays Above 7710",6/19/1997,Historical Newspapers,The Washington Post
Oil and Gasoline Prices Drop On Report of Strong Output,6/19/1997,Historical Newspapers,New York Times
Broader Indexes Reach New Highs,6/20/1997,Historical Newspapers,The Washington Post
Low Oil Prices Fail to Douse Exxon's Stock,6/20/1997,Historical Newspapers,Wall Street Journal
Platinum and Palladium Rally Ahead of New Russian Exports,6/20/1997,Historical Newspapers,New York Times
Dow Soars Toward Record 7800 Again,6/21/1997,Historical Newspapers,The Washington Post
Rainwater Flows With Oil and Gas,6/22/1997,Historical Newspapers,The Washington Post
Oil-Industry Consolidations in West Prompt Concern,6/23/1997,Historical Newspapers,Wall Street Journal
TALISMAN ENERGY INC.,6/23/1997,Historical Newspapers,Wall Street Journal
Cocoa Futures Soar on Forecasts for El Nino,6/24/1997,Historical Newspapers,Wall Street Journal
DIGEST,6/24/1997,Historical Newspapers,The Washington Post
Private Brazil Crop Forecast Sends Price of Coffee Lower,6/24/1997,Historical Newspapers,New York Times
OPEC's Top Exporters Seek Cut in Oil Output,6/25/1997,Historical Newspapers,Wall Street Journal
Stocks Reverse Course Again; Dow Falls 68,6/26/1997,Historical Newspapers,The Washington Post
NO BOUNDARIES,6/26/1997,Historical Newspapers,Wall Street Journal
OPEC Ministers Agree to Retain Daily Output at 25 Million Barrels,6/26/1997,Historical Newspapers,Wall Street Journal
Crude Oil Prices Rise as OPEC Vows Not to Cheat on Quotas,6/26/1997,Historical Newspapers,New York Times
"Dow Gyrates Again, Closing Down 36",6/27/1997,Historical Newspapers,The Washington Post
OPEC Ministers Set Accord to Limit Oil Output,6/27/1997,Historical Newspapers,Wall Street Journal
Petroleum Is Lower on Doubts On OPEC's Production Curbs,6/27/1997,Historical Newspapers,New York Times
"Dow Opens With a Bang, Then Retreats",6/28/1997,Historical Newspapers,The Washington Post
Stocks Mixed as Fears Of Inflation Increase,7/1/1997,Historical Newspapers,The Washington Post
Soybean Prices Drop Sharply After Big Planting Is Reported,7/1/1997,Historical Newspapers,New York Times
Dow Climbs 50 Points; Other Indexes Mixed,7/2/1997,Historical Newspapers,The Washington Post
Soybean-Futures Prices Keep Up Their Tailspin,7/2/1997,Historical Newspapers,Wall Street Journal
Managers of Three Big Funds Find Isles of Value in a Sea of High Prices,7/3/1997,Historical Newspapers,Wall Street Journal
Mellow Market Pushes Dow To New Highs,7/4/1997,Historical Newspapers,The Washington Post
Gold Plunges as Central Bank In Australia Sells 167 Tons,7/4/1997,Historical Newspapers,New York Times
Financial-Service Sector Weakness Damps Gains In Small Stocks but Nasdaq Index Sets Record,7/8/1997,Historical Newspapers,Wall Street Journal
Judge to Decide California Gasoline Case,7/8/1997,Historical Newspapers,Wall Street Journal
Dancing Around a Dilemma,7/9/1997,Historical Newspapers,The Washington Post
World Oil Prices Expected to Decline,7/9/1997,Historical Newspapers,Wall Street Journal
Anadarko Finds More Oil at Site In Sahara Desert,7/10/1997,Historical Newspapers,Wall Street Journal
U.S. Can's Response To Loss of Contract Will Cost 300 Jobs,7/10/1997,Historical Newspapers,Wall Street Journal
Iavestor Jitters Shake Stocks; Dow Average Drops 120 Points,7/10/1997,Historical Newspapers,The Washington Post
Texas Two-Step In Rococo Palace,7/10/1997,Historical Newspapers,New York Times
Crude Oil Falls on a Report That Inventories Are Rising,7/10/1997,Historical Newspapers,New York Times
Stocks Halt Decline; Dow Rebounds 44,7/11/1997,Historical Newspapers,The Washington Post
Major U.S. Oil Companies' Earnings Keep Falling From Heights at End of '96,7/11/1997,Historical Newspapers,Wall Street Journal
WORLD WIRE,7/11/1997,Historical Newspapers,Wall Street Journal
Is Futures Giant Getting Too Bulky to Perform?,7/14/1997,Historical Newspapers,Wall Street Journal
Computer Stocks Push Nasdaq Up 21 to Record,7/15/1997,Historical Newspapers,The Washington Post
Solv-Ex Corp. Seeks Shield From Lenders Under Canadian Law,7/15/1997,Historical Newspapers,Wall Street Journal
"Grain Prices Rise on Fears of Hot, Dry Weather",7/15/1997,Historical Newspapers,Wall Street Journal
Dow Rises 52 Points to Close at Record 7976,7/16/1997,Historical Newspapers,The Washington Post
Energy Rebounds on Strong Gasoline Demand,7/16/1997,Historical Newspapers,Wall Street Journal
Snyder Quits Compaq Just as the PC Maker Begins New Tactics,7/16/1997,Historical Newspapers,Wall Street Journal
Oil and Gasoline Prices Jump; Colombian Supplies Disrupted,7/16/1997,Historical Newspapers,New York Times
Tech Stocks Rev Up the Market,7/17/1997,Historical Newspapers,The Washington Post
Stockpile Cuts Stir New Oil-Shock Fears,7/18/1997,Historical Newspapers,Wall Street Journal
Burlington Resources to Buy Louisiana Land,7/18/1997,Historical Newspapers,Wall Street Journal
Oil Prices Rally on Storm but Are Expected to Fall,7/18/1997,Historical Newspapers,Wall Street Journal
"Dow, Broader Indexes Slip on Profit-Taking",7/18/1997,Historical Newspapers,The Washington Post
Hurdles to Production of Oil Push Energy Prices Higher,7/18/1997,Historical Newspapers,New York Times
Crude Oil Drops as Hurricane Moves Away From Gulf Sites,7/19/1997,Historical Newspapers,New York Times
"Trade Deficit Is 17% Wider: Record Imports, Dip in Exports",7/19/1997,Historical Newspapers,New York Times
WORLD WIRE,7/21/1997,Historical Newspapers,Wall Street Journal
"Settlement Reached Between Oil Firms, Justice Department in Collusion Case",7/21/1997,Historical Newspapers,Wall Street Journal
"Many Focus On Deflation, Yes, Deflation",7/21/1997,Historical Newspapers,Wall Street Journal
Dow Rises 16 but Other Indexes Fall; Market Awaits Greenspan Report,7/22/1997,Historical Newspapers,The Washington Post
"Exxon Net Rose 25% Despite Drop In Price of Crude Oil, Natural Gas",7/22/1997,Historical Newspapers,Wall Street Journal
Prices for Coffee Pull Back As Warehouse Supply Builds,7/22/1997,Historical Newspapers,New York Times
Low Oil Price Helps to Lift Exxon Profit,7/22/1997,Historical Newspapers,New York Times
DIGEST,7/23/1997,Historical Newspapers,The Washington Post
Texaco Profit Declines as Net At Amoco Rises,7/23/1997,Historical Newspapers,Wall Street Journal
Texaco and Amoco Profits Surpass Expectations,7/23/1997,Historical Newspapers,New York Times
"Dow, Other Indexes Up Again",7/24/1997,Historical Newspapers,The Washington Post
Several Major Oil Companies Exceed Earnings Forecasts,7/24/1997,Historical Newspapers,Wall Street Journal
DuPont Net Rises 14% on Strength In Its Fibers and Energy Businesses,7/24/1997,Historical Newspapers,Wall Street Journal
Report of Decline in Inventory Pushes Gasoline Prices Higher,7/24/1997,Historical Newspapers,New York Times
4 Energy Companies Post Strong Earnings,7/24/1997,Historical Newspapers,New York Times
BUSINESS BRIEFS,7/25/1997,Historical Newspapers,Wall Street Journal
Gasoline and Crude Prices Rise Sharply,7/26/1997,Historical Newspapers,New York Times
The Profit Parade,7/27/1997,Historical Newspapers,New York Times
Energy Conservation Is a Waste,7/28/1997,Historical Newspapers,Wall Street Journal
BUSINESS BRIEFS,7/29/1997,Historical Newspapers,Wall Street Journal
Small Gain Lifts Dow To Another Record,7/29/1997,Historical Newspapers,The Washington Post
Gulf Canada to Buy Stampeder Exploration,7/29/1997,Historical Newspapers,New York Times
Settlement Reached In AT&amp;T Insider Case With Son of Executive,7/30/1997,Historical Newspapers,Wall Street Journal
Gasoline Futures Continue Their Summer Rally,7/30/1997,Historical Newspapers,Wall Street Journal
MESA INC.,7/30/1997,Historical Newspapers,Wall Street Journal
Dow Climbs 53 to Record As Bond Rates Retreat,7/30/1997,Historical Newspapers,The Washington Post
Joy Over Budget Accord Pushes Stock Indexes to Record Highs,7/31/1997,Historical Newspapers,The Washington Post
Commodity Newsletter Publishers Claim Infringement of First Amendment Rights,7/31/1997,Historical Newspapers,Wall Street Journal
Gasoline Prices Climb Sharply On Report of Inventory Drop,7/31/1997,Historical Newspapers,New York Times
Dow Falls; Broader Indexes Up,8/1/1997,Historical Newspapers,The Washington Post
Corn and Soybean Prices Rise In Hot Weather With No Rain,8/1/1997,Historical Newspapers,New York Times
Companies' Earnings Vault 5% as Economy's Growth Streak Lengthens,8/4/1997,Historical Newspapers,Wall Street Journal
Late Rebound Leaves Dow With a 4-Point Gain,8/5/1997,Historical Newspapers,The Washington Post
"Petroleum, Prices Soar Despite Iraqi Oil Plan",8/5/1997,Historical Newspapers,Wall Street Journal
